New column 0 Url,New column 0,New column 1
https://courses.rahulshettyacademy.com/p/get-access-to-all-courses,All-Access Membership-Complete Access To 25+ Courses (And Counting!),99
https://courses.rahulshettyacademy.com/p/cypress-modern-automation-testing-from-scratch-framework,Cypress-Modern Automation Testing From Scratch + Framework,19
https://courses.rahulshettyacademy.com/p/core-java-for-automation-testers-interview-programs,Core Java For Automation Testers + Interview Programs,
https://courses.rahulshettyacademy.com/p/javascript-sdet-automation-testing,JavaScript SDET- Automation Testing Package,49
https://courses.rahulshettyacademy.com/p/learn-postman-for-api-automation-testing-with-javascript,Learn Postman For API Automation Testing With Javascript,19
https://courses.rahulshettyacademy.com/p/software-quality-assurance-engineer,Software Quality Assurance Engineer - 4 Courses Bundle,49
https://courses.rahulshettyacademy.com/p/test-architect-devops-for-qa-package,Test Architect /Devops For QA - Package,49
https://courses.rahulshettyacademy.com/p/selenium-design-patterns-best-practices-for-framework-design,Selenium Design Patterns/Best Practices For Framework Design,19
https://courses.rahulshettyacademy.com/p/spring-boot-fundamentals-with-unit-testing-mockmvc-mockito,Spring Boot Fundamentals With Unit Testing (MockMVC/Mockito),19
https://courses.rahulshettyacademy.com/p/rest-api-testing-automation-from-scratch-rest-assured-java,REST API Testing(Automation) From Scratch-Rest Assured Java,19
https://courses.rahulshettyacademy.com/p/python-sdet-automation-testing,Python SDET- Automation Testing Package,49
https://courses.rahulshettyacademy.com/p/azure-devops-fundamentals-for-testers-ci-cd-project-boards,Azure Devops Fundamentals For Testers -CI/CD+Project Boards,19
